word,max_emp_bridge,date_of_max,occurrences
он,2.750695387,1816,649
на,1.445620264,1819,489
ты,1.388634539,1811,444
они,1.560770594,1817,404
она,1.76481934,1811,253
мой,1.966317456,1819,210
мы,2.175414451,1812,185
бы,1.352129855,1811,144
лишь,1.41914757,1813,142
ж,1.721038338,1814,135
себя,1.959264097,1813,130
уж,1.363829281,1809,109
вы,1.891789892,1823,107
о,1.364029003,1815,94
ну,2.051130559,1811,66
ль,1.655085878,1815,66
ещё,1.402007307,1814,59
тем,1.753680132,1819,57
наш,2.040446896,1812,54
ведь,1.498791009,1819,40
взять,1.654679658,1819,36
добрый,1.480918478,1816,36
смотреть,2.069667088,1816,33
про,1.836534982,1814,32
бедный,1.461086681,1814,30
целый,1.403554348,1819,28
остаться,1.361718428,1819,24
осесть,1.414217476,1815,23
сметь,1.414867884,1811,22
часто,1.397146524,1811,22
нельзя,1.433389108,1814,18
злой,1.343363888,1814,18
ваш,1.653030508,1812,17
опять,1.580897559,1815,15
съесть,1.459574501,1819,15
самый,1.670345541,1811,14
любить,1.430747696,1813,14
кой,1.386228992,1811,14
сесть,2.025883564,1812,13
старый,1.566901314,1823,13
стеречь,1.482781834,1823,13
пить,1.524295549,1823,12
общий,1.348291479,1816,12
счастливый,1.431219996,1816,11
каждый,1.689090769,1812,10
вокруг,1.358822661,1814,10
