word,max_emp_bridge,date_of_max,occurrences
он,2.750695387,1816,649
на,1.445620264,1819,489
ты,1.388634539,1811,444
они,1.560770594,1817,404
она,1.76481934,1811,253
мой,1.966317456,1819,210
мы,2.175414451,1812,185
бы,1.352129855,1811,144
лишь,1.41914757,1813,142
ж,1.721038338,1814,135
себя,1.959264097,1813,130
уж,1.363829281,1809,109
вы,1.891789892,1823,107
лев,1.573878762,1809,95
о,1.364029003,1815,94
свет,1.515623289,1816,72
ну,2.051130559,1811,66
ль,1.655085878,1815,66
ещё,1.402007307,1814,59
тем,1.753680132,1819,57
царь,2.767937107,1814,56
волк,1.95312425,1816,55
наш,2.040446896,1812,54
сила,1.36569073,1811,49
гора,1.435339478,1815,44
бог,1.887252174,1811,43
ведь,1.498791009,1819,40
овца,2.757897285,1819,36
право,1.782820822,1815,36
взять,1.654679658,1819,36
добрый,1.480918478,1816,36
смотреть,2.069667088,1816,33
про,1.836534982,1814,32
сосед,1.440087279,1813,32
змея,2.161660991,1813,30
час,1.614490385,1816,30
бедный,1.461086681,1814,30
орёл,2.331591006,1814,28
осёл,1.959096047,1815,28
грех,1.531850154,1811,28
целый,1.403554348,1819,28
хвост,1.541352003,1823,27
медведь,1.610410101,1815,26
голова,1.872190795,1809,25
народ,1.361640268,1823,25
соловей,1.837105438,1823,24
остаться,1.361718428,1819,24
земля,1.542243577,1811,23
осесть,1.414217476,1815,23
сметь,1.414867884,1811,22
часто,1.397146524,1811,22
мешок,3.169311102,1811,18
нельзя,1.433389108,1814,18
злой,1.343363888,1814,18
паук,1.991584584,1811,17
корабль,1.921785344,1819,17
сеть,1.859388837,1809,17
муха,1.705006243,1809,17
ваш,1.653030508,1812,17
раз,1.579779032,1814,17
огонь,1.44258644,1809,17
чин,1.411964746,1815,17
мир,1.354408488,1813,17
слон,2.096877442,1808,16
воз,1.407994404,1812,16
опять,1.580897559,1815,15
бедняк,1.565136397,1828,15
съесть,1.459574501,1819,15
самый,1.670345541,1811,14
любить,1.430747696,1813,14
кой,1.386228992,1811,14
сесть,2.025883564,1812,13
наука,1.830874507,1813,13
тень,1.774021622,1814,13
песня,1.742937704,1823,13
работа,1.700092524,1814,13
старый,1.566901314,1823,13
стеречь,1.482781834,1823,13
червяк,2.208912073,1819,12
кукушка,1.674935921,1830,12
царство,1.664634566,1814,12
пить,1.524295549,1823,12
корм,1.397883692,1814,12
щука,1.369436365,1830,12
общий,1.348291479,1816,12
старик,1.903512419,1807,11
комар,1.788407841,1809,11
кость,1.785496825,1815,11
роща,1.712942629,1809,11
случай,1.667596257,1816,11
спор,1.567091,1815,11
счастливый,1.431219996,1816,11
фортуна,1.41710732,1813,11
певец,1.415797805,1823,11
жених,3.100567019,1805,10
кошелёк,2.758606363,1828,10
каждый,1.689090769,1812,10
слеза,1.680924544,1816,10
ручей,1.54465995,1811,10
горшок,1.515614174,1823,10
крот,1.374802478,1815,10
вокруг,1.358822661,1814,10
кума,1.346870278,1816,10
