word,max_emp_bridge,date_of_max,occurrences
случиться,0.861891781206335,1814,17
некогда,0.8025542861927468,1814,10
я,1.269750338445908,1816,597
быть,1.2280173179635876,1815,317
в,0.9117233994811988,1816,865
мир,1.354408488480586,1813,17
сказать,0.6740227405229525,1814,90
яснеть,1.252961431126954,1809,2
случилось,0.7066295814095346,1788,2
хотя,0.8815904452062427,1808,20
немного,1.2101819269665512,1809,4
там,1.184351714282835,1814,76
увидеть,0.6839674709475847,1818,31
льзить,0.7063391117947677,1788,2
добро,0.7167467087719575,1823,20
однако,0.639019804905941,1813,37
ж,1.7210383379081484,1814,135
тут,0.8435218623274825,1830,123
вестись,0.5761559447237607,1788,3
игра,1.1452984063215104,1788,3
из,0.5648260913520522,1811,125
весь,0.8572452106724988,1823,201
другой,0.8555657229044674,1812,64
удалой,0.9043496853039846,1809,3
один,0.7565255889174404,1816,84
молодец,0.7507340968558055,1808,5
он,2.750695386844169,1816,649
образец,1.022411548320484,1811,2
и,1.126854941292539,1811,1452
карта,1.489700706790603,1788,4
ставить,0.8309817135465887,1811,7
смелый,1.0973051751717775,1812,3
вдруг,1.141835896732826,1811,26
спустить,1.653691017454857,1807,5
всё,0.7120891345752309,1815,220
деньга,0.5992028027691759,1812,9
с,1.1337095817419225,1812,514
рука,0.6558458546852121,1815,30
а,0.7523133441815542,1813,387
на,1.4456202635203312,1819,489
никто,1.2779817141902516,1815,33
не,0.5813870568254179,1811,913
верить,0.7680292256109413,1809,7
хоть,0.8395523001751908,1816,90
казаться,1.0666209300271337,1812,41
герой,0.9260134293332654,1809,5
озлиться,0.7043058244913988,1788,2
мой,1.9663174559384937,1819,210
болван,1.6489816920764897,1807,3
поставить,1.0409272559823877,1813,8
кафтан,1.0757488834288649,1815,7
глядеть,0.631017451060883,1808,24
чрез,0.7025528181111979,1816,4
час,1.614490385497397,1816,30
остаться,1.3617184283627313,1819,24
камзол,0.7036003982841076,1788,2
как,0.7368601000752815,1815,331
чистый,0.44754848408209336,1808,9
поле,1.0951899110327061,1813,16
тогда,1.015365282682001,1819,23
к,0.8398148281376542,1815,194
прийти,0.6699514496509852,1816,30
от,1.3154232512695478,1816,172
посол,1.2597667192443514,1808,2
говорить,0.5725481691108029,1813,146
отец,0.8239502236287274,1816,11
совсем,0.9291391494726222,1809,57
твой,0.8115761037548315,1813,72
умирать,1.0445685254827135,1807,3
ты,1.3886345390912174,1811,444
проститься,0.9297100337089088,1809,3
желать,0.8002343360106532,1814,10
приказать,0.4935739445119016,1788,4
себя,1.9592640972136215,1813,130
просить,0.5500744789864138,1830,21
